job_name,time
Ranger,-38388
Ranger,-38374
Tika,-38361
Tika,-38352
Tika,-38336
Ranger,-38333
Tika,-38324
Tika,-38318
Tika,-38306
Ranger,-38258
Ranger,-38244
Ranger,-38241
Ranger,-38224
Ranger,-38203
Ranger,-38177
Ranger,-38176
Ranger,-38150
Ranger,-38106
Ranger,-37941
Ranger,-37886
Kafka,-37827
Kafka,-37734
Ranger,-37687
Ranger,-37638
Ranger,-37581
Ranger,-37522
Ranger,-37443
Ranger,-37376
Ranger,-37006
Ranger,-36992
Ranger,-36980
Ranger,-36948
Ranger,-36922
Ranger,-36894
Ranger,-36877
Ranger,-36828
Ranger,-36750
Ranger,-36697
Ranger,-36663
Ranger,-36607
Ranger,-36575
Ranger,-36406
Ranger,-36389
Ranger,-36372
Ranger,-36325
Ranger,-36303
Ranger,-36276
Ranger,-36251
Ranger,-36235
Ranger,-36131
Ranger,-36106
Ranger,-36088
Ranger,-36056
Ranger,-36038
Ranger,-35925
Kafka,-35924
Ranger,-35906
Ranger,-35849
Ranger,-35828
Ranger,-35802
Ranger,-35776
Ranger,-35721
Ranger,-35687
Ranger,-35670
Ranger,-35649
Ranger,-35631
Ranger,-35590
Ranger,-35527
Ranger,-35523
Ranger,-35507
Ranger,-35494
Ranger,-35478
Ranger,-35453
Ranger,-35451
Ranger,-35428
Ranger,-35412
Ranger,-35392
Ranger,-35385
Ranger,-35357
Kafka,-35351
Ranger,-35337
Ranger,-35295
Ranger,-35273
Ranger,-35137
Ranger,-35021
Ranger,-34930
Ranger,-34869
Ranger,-34850
Ranger,-34811
Ranger,-34744
Ranger,-34608
Ranger,-34551
Ranger,-34481
Ranger,-34400
Ranger,-34351
Ranger,-34330
Ranger,-34326
Ranger,-34311
Ranger,-34304
Ranger,-34266
Ranger,-34247
Ranger,-34235
Ranger,-34211
Ranger,-34193
Ranger,-34185
Ranger,-34134
Ranger,-34053
Ranger,-33975
Ranger,-33896
Ranger,-33835
Kafka,-33777
Ranger,-33765
Ranger,-33616
Ranger,-33550
Ranger,-33470
Ranger,-33407
Ranger,-33333
Royale,-33290
Ranger,-33233
Ranger,-33161
Ranger,-33105
Royale,-33060
Royale,-33035
Ranger,-33006
Royale,-33005
Royale,-32995
Royale,-32987
Royale,-32978
Royale,-32970
Royale,-32959
Royale,-32951
Ranger,-32946
Royale,-32943
Royale,-32924
Royale,-32909
Ranger,-32891
Royale,-32863
Royale,-32828
Ranger,-32826
Royale,-32801
Royale,-32794
Royale,-32781
Royale,-32773
Ranger,-32763
Royale,-32761
Royale,-32740
Royale,-32729
Royale,-32718
Royale,-32709
Royale,-32700
Ranger,-32700
Royale,-32674
Royale,-32665
Royale,-32656
Royale,-32645
Ranger,-32643
Royale,-32636
Royale,-32626
Royale,-32616
Royale,-32607
Royale,-32597
Royale,-32589
Royale,-32578
Ranger,-32574
Royale,-32553
Royale,-32544
Royale,-32533
Royale,-32524
Royale,-32516
Royale,-32506
Royale,-32496
Ranger,-32496
Royale,-32487
Royale,-32477
Royale,-32456
Royale,-32443
Ranger,-32438
Royale,-32434
Royale,-32392
Royale,-32384
Royale,-32374
Royale,-32365
Royale,-32356
Ranger,-32350
Royale,-32337
Royale,-32316
Royale,-32311
Royale,-32304
Royale,-32296
Royale,-32289
Royale,-32278
Royale,-32270
Royale,-32262
Royale,-32254
Ranger,-32248
Royale,-32246
Royale,-32237
Royale,-32229
Guacamole,-32228
Royale,-32221
Royale,-32212
Royale,-32204
Royale,-32196
Royale,-32188
Royale,-32180
Royale,-32172
Royale,-32164
Royale,-32155
Royale,-32147
Royale,-32139
Royale,-32131
Royale,-32122
Royale,-32114
Royale,-32106
Royale,-32098
Royale,-32089
Royale,-32081
Royale,-32073
Royale,-32065
Royale,-32057
Royale,-32049
Royale,-32041
Royale,-32032
Royale,-32024
Royale,-32016
Royale,-32008
Royale,-32000
Royale,-31991
Royale,-31982
Royale,-31974
Royale,-31965
Royale,-31957
Royale,-31949
Royale,-31940
Royale,-31932
Royale,-31923
Royale,-31915
Royale,-31907
Royale,-31899
Royale,-31890
Royale,-31882
Royale,-31874
Solr,-31866
Royale,-31866
Royale,-31858
Royale,-31849
Royale,-31841
Royale,-31833
Royale,-31825
Royale,-31817
Royale,-31808
Royale,-31800
Royale,-31791
Royale,-31783
Royale,-31775
Royale,-31767
Royale,-31759
Royale,-31751
Royale,-31742
Royale,-31733
Royale,-31723
Royale,-31715
Royale,-31707
Royale,-31699
Royale,-31690
Royale,-31682
Royale,-31673
Royale,-31665
Royale,-31657
Royale,-31648
Royale,-31640
Royale,-31632
Royale,-31624
Royale,-31615
Royale,-31607
Royale,-31599
Royale,-31591
Royale,-31583
Royale,-31575
Royale,-31567
Royale,-31558
Royale,-31550
Royale,-31542
Royale,-31533
Royale,-31525
Royale,-31517
Royale,-31509
Ranger,-31504
Ranger,-31504
Ranger,-31504
