#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:32:27Z,sdgp,bmc,42.5,41,42,42.5,6718,6765,6755,6745,39,35,35,5336,29,167,229.75,4560,26,176,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:32:50Z,sdgp,bmc,42.5,41,42,42.5,6718,6766,6752,6748,39,35,35,5336,29,168,229.5,4528,26,176,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:33:13Z,sdgp,bmc,42.5,40.5,42,42,6711,6765,6752,6745,39,35,35,5336,29,167,229.5,4528,26,176,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:33:36Z,sdgp,bmc,42.5,41,42,42,6718,6765,6752,6745,39,35,35,5336,29,167,229.25,4560,26,175,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:34:00Z,sdgp,bmc,42.5,41,42,42,6705,6759,6755,6745,39,35,35,5336,29,167,229.25,4560,26,175,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:34:22Z,sdgp,bmc,42.5,41,42,42.5,6720,6765,6752,6745,39,35,35,5368,29,166,229.5,4528,26,175,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:34:46Z,sdgp,bmc,42.5,41,41.5,42.5,6718,6759,6756,6748,39,35,35,5336,29,167,229.25,4528,26,175,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:35:09Z,sdgp,bmc,42.5,40.5,42,42,6715,6765,6756,6745,39,35,35,5304,29,166,229.25,4528,26,174,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:35:33Z,sdgp,bmc,42.5,40.5,42,42,6704,6766,6753,6742,39,35,35,5216,29,164,229.25,4528,26,173,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:35:56Z,sdgp,bmc,42.5,40.5,41.5,42,6704,6766,6757,6745,39,35,35,5336,29,163,229.25,4528,26,172,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:36:18Z,sdgp,bmc,42,40.5,41.5,42,6717,6763,6755,6748,39,35,35,5248,29,162,229.25,4528,26,171,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:36:42Z,sdgp,bmc,42,40.5,41.5,42,6714,6766,6756,6747,39,35,35,5096,29,161,229.25,4528,26,169,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:37:06Z,sdgp,bmc,42,40.5,41.5,42,6714,6766,6755,6747,39,35,35,5280,29,162,229.5,4560,26,169,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:37:31Z,sdgp,bmc,42,40.5,41.5,42,6707,6766,6751,6742,39,35,35,5184,29,161,229,4560,26,169,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:38:17Z,sdgp,bmc,42,40.5,41,42,6717,6766,6751,6747,39,35,35,5064,29,161,229.25,4560,26,168,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:38:41Z,sdgp,bmc,42,40.5,41,41.5,6717,6763,6752,6748,39,35,35,5064,29,159,229.25,4528,26,166,229.5
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:39:04Z,sdgp,bmc,42,40.5,41,41.5,6718,6766,6754,6744,39,35,35,5064,29,156,229.5,4560,26,163,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:39:27Z,sdgp,bmc,41.5,40.5,40.5,41.5,6704,6766,6752,6752,39,35,35,5096,29,156,229.25,4560,26,163,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:39:50Z,sdgp,bmc,41.5,40.5,40.5,41.5,6708,6765,6755,6745,38.5,35,34.5,5064,29,154,229.25,4528,26,161,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:40:13Z,sdgp,bmc,41.5,40.5,40.5,41,6708,6766,6755,6745,38.5,35,34.5,5096,29,153,229,4528,26,160,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:40:48Z,sdgp,bmc,41.5,40.5,40.5,41,6717,6765,6752,6748,38.5,35,34.5,5064,29,152,229.25,4560,26,159,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:41:27Z,sdgp,bmc,41.5,40.5,40,40.5,6861,6919,6905,6891,38.5,35,34.5,5064,29,150,229,4560,26,158,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:41:50Z,sdgp,bmc,41.5,40,40,40.5,6863,6916,6898,6896,38.5,34.5,34.5,5064,29,150,229,4528,26,158,229
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:42:13Z,sdgp,bmc,41,40,40,40,6864,6918,6904,6890,38.5,34.5,34.5,5064,29,150,229.25,4528,26,156,229.25
,,0,2023-06-18T07:46:35.458806591Z,2023-06-18T09:46:35.458806591Z,2023-06-18T09:42:36Z,sdgp,bmc,41,40,40,40,6861,6915,6904,6890,38.5,34.5,34.5,5064,29,148,229.25,4528,26,156,229.25
